Feature,TP,FP,TN,FN,p value
CD160,4,3,27,4,0.02451677683875827
AC016766.1,8,19,11,0,0.07653159001406282
FAM124A,6,2,28,2,0.000253990042265285
AC034232.2,1,4,26,7,1.0
CROCCP2,4,9,21,4,0.40681168534958634
RNF19A,4,4,26,4,0.04413040688382748
AC037450.1,5,6,24,3,0.031134525117347517
SLC26A4,6,3,27,2,0.0007189057174076666
MAGOHB,2,3,27,6,0.27930717094803864
PDCD6,4,4,26,4,0.04413040688382748
C3orf38,3,3,27,5,0.0940050661412895
AC117373.1,3,5,25,5,0.3269989799501434
AC112487.1,3,5,25,5,0.3269989799501434
AC090771.2,3,3,27,5,0.0940050661412895
FAR2P1,4,13,17,4,1.0
ANGEL2,2,6,24,6,1.0
CCDC102B,6,19,11,2,0.6892823113735927
BCRP3,2,3,27,6,0.27930717094803864
MT1HL1,3,2,28,5,0.052826820628678335
MKI67,3,2,28,5,0.052826820628678335
FCGR3A,5,14,16,3,0.6927954347309196
RPS6P20,3,5,25,5,0.3269989799501434
AC008280.2,3,2,28,5,0.052826820628678335
GPM6A,5,20,10,3,1.0
MARCO,4,12,18,4,0.6984460741576514
CNKSR2,4,10,20,4,0.43317561044516156
HABP4,3,2,28,5,0.052826820628678335
MTCO1P6,2,4,26,6,0.5870410235735337
PSEN2,3,4,26,5,0.14612128311818728
AL391097.1,2,4,26,6,0.5870410235735337
AL392003.2,3,6,24,5,0.3630773851486934
AC007966.1,1,4,26,7,1.0
SDF4,4,1,29,4,0.004295316988815445
CARD8,4,8,22,4,0.2319489168585348
IGHMBP2,3,2,28,5,0.052826820628678335
PCDHA7,4,10,20,4,0.43317561044516156
OR1A1,3,2,28,5,0.052826820628678335
FHAD1,2,3,27,6,0.27930717094803864
MED26,2,7,23,6,1.0
POU6F1,3,9,21,5,0.6892823113735946
THOC5,4,1,29,4,0.004295316988815445
ZNF598,2,3,27,6,0.27930717094803864
ARHGAP24,7,19,11,1,0.39336070315796734
C16orf70,2,3,27,6,0.27930717094803864
KRTAP5-11,2,3,27,6,0.27930717094803864
KLHL3,4,4,26,4,0.04413040688382748
PUM3,4,3,27,4,0.02451677683875827
AL445209.1,4,3,27,4,0.02451677683875827
MTRR,3,2,28,5,0.052826820628678335
LIMS2,2,4,26,6,0.5870410235735337
NECTIN1,4,6,24,4,0.1700531324020792
LINC01229,2,3,27,6,0.27930717094803864
USP49,5,0,30,3,0.00011156667503416735
UNC80,4,5,25,4,0.07132797387965682
AC091804.1,2,3,27,6,0.27930717094803864
AC244453.3,4,1,29,4,0.004295316988815445
NXT2,2,6,24,6,1.0
PUS10,4,1,29,4,0.004295316988815445
AP000442.2,2,5,25,6,0.6236050996112921
CCDC157,3,4,26,5,0.14612128311818728
PCDHGA9,3,6,24,5,0.3630773851486934
CLMP,4,8,22,4,0.2319489168585348
MTCL1,5,6,24,3,0.031134525117347517
MIR4297,6,0,30,2,1.0142425003106176e-05
C6orf10,2,3,27,6,0.27930717094803864
SUDS3,4,2,28,4,0.011648575116067416
OMA1,6,9,21,2,0.03907735259477998
AC005726.1,5,2,28,3,0.001997423824049215
CDRT15P2,4,1,29,4,0.004295316988815445
NFATC3,2,5,25,6,0.6236050996112921
TLE2,3,3,27,5,0.0940050661412895
LINC02113,2,6,24,6,1.0
AL592435.1,2,5,25,6,0.6236050996112921
ZNF451,3,8,22,5,0.6670881907574223
AC134698.1,4,4,26,4,0.04413040688382748
AC008467.1,1,9,21,7,0.6533315044250843
ATP1A1-AS1,4,2,28,4,0.011648575116067416
MYO18A,4,6,24,4,0.1700531324020792
FOLR1,3,2,28,5,0.052826820628678335
RFX8,3,7,23,5,0.4112138249759355
AC021192.1,1,4,26,7,1.0
CASP5,3,2,28,5,0.052826820628678335
ZFPM2-AS1,5,7,23,3,0.0806253672028167
RASSF8,4,11,19,4,0.6869283894900606
MYL12A,3,2,28,5,0.052826820628678335
AC091691.2,2,4,26,6,0.5870410235735337
GVINP1,2,3,27,6,0.27930717094803864
AL024508.1,3,2,28,5,0.052826820628678335
SRPX2,3,2,28,5,0.052826820628678335
RPSAP13,2,3,27,6,0.27930717094803864
AC096711.2,5,7,23,3,0.0806253672028167
AC011483.1,3,3,27,5,0.0940050661412895
PRRC2B,4,7,23,4,0.19495871583158175
ITGBL1,7,11,19,1,0.01648569390504874
NIPBL,3,5,25,5,0.3269989799501434
PCID2,0,5,25,8,0.5632164672412358
AC092447.7,3,11,19,5,1.0
CLCN1,2,4,26,6,0.5870410235735337
MCHR2-AS1,5,9,21,3,0.11659122420133158
RAB11FIP4,4,4,26,4,0.04413040688382748
CD99L2,4,12,18,4,0.6984460741576514
ZSWIM9,2,3,27,6,0.27930717094803864
AC068992.1,4,9,21,4,0.40681168534958634
GPBP1L1,2,3,27,6,0.27930717094803864
TRIO,4,18,12,4,0.698446074157651
UPK1B,4,1,29,4,0.004295316988815445
SLC1A2,6,6,24,2,0.006571861984825153
UGT2A2,3,2,28,5,0.052826820628678335
ACAP2,6,3,27,2,0.0007189057174076666
P2RY14,3,2,28,5,0.052826820628678335
BCAP29,2,5,25,6,0.6236050996112921
ZNF257,2,8,22,6,1.0
MACROD1,3,9,21,5,0.6892823113735946
AC093655.1,4,10,20,4,0.43317561044516156
SGCG,4,7,23,4,0.19495871583158175
OSBPL6,6,16,14,2,0.4262098911055281
CCDC33,4,7,23,4,0.19495871583158175
HOGA1,4,3,27,4,0.02451677683875827
TPI1P1,3,5,25,5,0.3269989799501434
PURG,0,7,23,8,0.30743338328477654
MINOS1-NBL1,5,3,27,3,0.004903146793689084
CARD6,1,4,26,7,1.0
FYB2,4,2,28,4,0.011648575116067416
TTC29,6,13,17,2,0.23198858682729717
SEC31A,2,4,26,6,0.5870410235735337
PPM1H,6,11,19,2,0.10657578399513885
AC106791.1,4,3,27,4,0.02451677683875827
TRPV5,2,3,27,6,0.27930717094803864
TBC1D1,6,3,27,2,0.0007189057174076666
AP2A2,5,5,25,3,0.01857407237912584
MDFIC,2,15,15,6,0.2574832897413548
FAM3C,3,4,26,5,0.14612128311818728
AC069360.1,4,2,28,4,0.011648575116067416
CYP2E1,2,4,26,6,0.5870410235735337
AC099566.1,6,10,20,2,0.049774932227743665
VBP1,2,5,25,6,0.6236050996112921
KIAA1257,4,4,26,4,0.04413040688382748
RARSP1,2,4,26,6,0.5870410235735337
RF00409,3,4,26,5,0.14612128311818728
PRRG1,4,14,16,4,1.0
GRM7-AS1,3,4,26,5,0.14612128311818728
MTG2,3,4,26,5,0.14612128311818728
IMPA1,1,6,24,7,1.0
LINC02562,3,4,26,5,0.14612128311818728
RNF4,4,2,28,4,0.011648575116067416
LINC01919,3,3,27,5,0.0940050661412895
SFR1P1,2,4,26,6,0.5870410235735337
AMER2,2,4,26,6,0.5870410235735337
CYYR1-AS1,6,2,28,2,0.000253990042265285
ACRBP,3,2,28,5,0.052826820628678335
TCAF2P1,3,5,25,5,0.3269989799501434
LINC01467,6,3,27,2,0.0007189057174076666
SMC5-AS1,2,4,26,6,0.5870410235735337
RNF5P1,1,6,24,7,1.0
TMEM161B,4,2,28,4,0.011648575116067416
DCAF4,2,5,25,6,0.6236050996112921
ALG13,5,6,24,3,0.031134525117347517
ADSL,6,0,30,2,1.0142425003106176e-05
CASP8AP2,3,2,28,5,0.052826820628678335
CST2,2,4,26,6,0.5870410235735337
AL136981.1,5,4,26,3,0.010133448139040891
AC008164.1,3,2,28,5,0.052826820628678335
CACNA1E,6,16,14,2,0.4262098911055281
SIL1,4,12,18,4,0.6984460741576514
AC103876.1,6,7,23,2,0.011430410736313054
PGS1,3,2,28,5,0.052826820628678335
ACACB,3,13,17,5,1.0
WDR36,2,4,26,6,0.5870410235735337
AC093274.1,4,4,26,4,0.04413040688382748
TSPAN19,3,4,26,5,0.14612128311818728
LHX2,3,4,26,5,0.14612128311818728
CD3G,0,5,25,8,0.5632164672412358
AKAP1,1,8,22,7,0.6503169957679114
STARD10,2,4,26,6,0.5870410235735337
CTDSPL,4,4,26,4,0.04413040688382748
AC087632.1,4,8,22,4,0.2319489168585348
RARB,6,21,9,2,1.0
CD70,3,5,25,5,0.3269989799501434
AL365181.3,1,5,25,7,1.0
AC091944.1,0,6,24,8,0.3090878663634098
ZNF280C,2,5,25,6,0.6236050996112921
FAM124B,0,6,24,8,0.3090878663634098
LINC00578,6,12,18,2,0.11714353649837526
MCTP2,4,11,19,4,0.6869283894900606
AC087463.3,4,5,25,4,0.07132797387965682
AC095060.1,3,8,22,5,0.6670881907574223
TRGV4,0,7,23,8,0.30743338328477654
RPL30P9,4,1,29,4,0.004295316988815445
ZXDB,3,5,25,5,0.3269989799501434
PCBP1-AS1,3,6,24,5,0.3630773851486934
PCAT18,2,3,27,6,0.27930717094803864
LINC02393,4,2,28,4,0.011648575116067416
AC073941.1,4,10,20,4,0.43317561044516156
CELSR1,6,5,25,2,0.0035015290932598536
RPS15AP29,1,4,26,7,1.0
WNT3,3,6,24,5,0.3630773851486934
LINC01524,6,15,15,2,0.2574832897413544
AL157911.1,2,8,22,6,1.0
SSR1,6,2,28,2,0.000253990042265285
MAGI3,7,5,25,1,0.0004311962016945542
PCDHAC1,3,8,22,5,0.6670881907574223
SH3GL2,8,6,24,0,6.14066578313058e-05
AP000942.1,2,3,27,6,0.27930717094803864
SYK,4,4,26,4,0.04413040688382748
ENPP7P10,3,7,23,5,0.4112138249759355
SH2D2A,2,4,26,6,0.5870410235735337
OTUB2,3,2,28,5,0.052826820628678335
KANK1,6,8,22,2,0.03373317390095586
AC090630.1,5,2,28,3,0.001997423824049215
AP000866.1,1,5,25,7,1.0
WDR44,1,4,26,7,1.0
WIF1,3,5,25,5,0.3269989799501434
AP000893.2,3,5,25,5,0.3269989799501434
ROS1,3,14,16,5,0.7087263216295476
SPECC1,4,6,24,4,0.1700531324020792
STYXL1,3,5,25,5,0.3269989799501434
NRF1,4,10,20,4,0.43317561044516156
ANXA6,4,3,27,4,0.02451677683875827
CDH11,6,12,18,2,0.11714353649837526
MSANTD1,1,5,25,7,1.0
DPYSL5,4,8,22,4,0.2319489168585348
FAM163A,1,6,24,7,1.0
AC017013.1,1,6,24,7,1.0
TBX19,4,6,24,4,0.1700531324020792
ADAM9,3,7,23,5,0.4112138249759355
RNU6-279P,2,4,26,6,0.5870410235735337
BLOC1S6,2,4,26,6,0.5870410235735337
LINC02378,3,7,23,5,0.4112138249759355
MBNL2,3,6,24,5,0.3630773851486934
ETHE1,3,3,27,5,0.0940050661412895
TTLL3,1,8,22,7,0.6503169957679114
PPP1R37,3,2,28,5,0.052826820628678335
LRRC47,2,4,26,6,0.5870410235735337
CCER1,2,9,21,6,1.0
LINC-PINT,6,5,25,2,0.0035015290932598536
SLC25A14,4,2,28,4,0.011648575116067416
MEIS2,4,5,25,4,0.07132797387965682
NOLC1,2,4,26,6,0.5870410235735337
LINC02232,4,7,23,4,0.19495871583158175
C11orf96,2,6,24,6,1.0
LINC02284,1,4,26,7,1.0
FRMD4A,8,20,10,0,0.08212996323452751
B3GAT1,2,3,27,6,0.27930717094803864
ASAH2B,2,4,26,6,0.5870410235735337
LOXL2,6,5,25,2,0.0035015290932598536
TXNRD1,3,10,20,5,1.0
LINC02397,2,6,24,6,1.0
MLLT3,4,14,16,4,1.0
OTOGL,4,13,17,4,1.0
LINC01777,3,4,26,5,0.14612128311818728
AC106865.1,4,2,28,4,0.011648575116067416
GABRA1,4,6,24,4,0.1700531324020792
HLA-DMA,1,4,26,7,1.0
LINC01705,1,4,26,7,1.0
DGKI,8,14,16,0,0.011948431003659252
AC022616.1,5,2,28,3,0.001997423824049215
ADORA2A,3,3,27,5,0.0940050661412895
ITM2A,2,4,26,6,0.5870410235735337
IGF2BP1,4,3,27,4,0.02451677683875827
FGF23,2,4,26,6,0.5870410235735337
SGMS1,6,16,14,2,0.4262098911055281
KRT86,3,4,26,5,0.14612128311818728
APAF1,4,1,29,4,0.004295316988815445
PCDHGB6,3,6,24,5,0.3630773851486934
HMOX2,4,2,28,4,0.011648575116067416
NFU1,2,4,26,6,0.5870410235735337
PTPRD,8,26,4,0,0.5599810336652447
UBE4B,4,5,25,4,0.07132797387965682
MAP2K5,4,7,23,4,0.19495871583158175
RBMX,3,5,25,5,0.3269989799501434
DCX,3,10,20,5,1.0
AL050403.2,6,15,15,2,0.2574832897413544
STK11,3,3,27,5,0.0940050661412895
AC062039.1,5,2,28,3,0.001997423824049215
CEBPZ,2,4,26,6,0.5870410235735337
SLC9B1P3,5,8,22,3,0.0940763493944359
CBLN4,3,4,26,5,0.14612128311818728
EFCAB6,4,12,18,4,0.6984460741576514
FAM13B,4,1,29,4,0.004295316988815445
LINC01780,2,4,26,6,0.5870410235735337
MIR95,1,5,25,7,1.0
AL023754.1,6,2,28,2,0.000253990042265285
MPHOSPH8,4,4,26,4,0.04413040688382748
LEPR,6,15,15,2,0.2574832897413544
TSC22D1,7,6,24,1,0.0009035551080892134
MMP16,6,16,14,2,0.4262098911055281
TOX,8,16,14,0,0.016784936339515437
AF130417.1,4,13,17,4,1.0
FAR2P2,0,5,25,8,0.5632164672412358
AHCYP3,1,4,26,7,1.0
AC068533.4,3,10,20,5,1.0
WDYHV1,2,6,24,6,1.0
PTGIS,1,7,23,7,0.6600304125521346
RRN3,4,5,25,4,0.07132797387965682
SVIL,7,13,17,1,0.045018625663786935
ABRAXAS2,1,6,24,7,1.0
LANCL2,4,6,24,4,0.1700531324020792
AL020996.2,2,3,27,6,0.27930717094803864
CNOT1,6,5,25,2,0.0035015290932598536
USP41,3,4,26,5,0.14612128311818728
POC1B,5,3,27,3,0.004903146793689084
LIFR-AS1,3,9,21,5,0.6892823113735946
SLC8A3,5,4,26,3,0.010133448139040891
EML4,4,6,24,4,0.1700531324020792
AC138207.8,3,8,22,5,0.6670881907574223
UGT8,1,4,26,7,1.0
CCNG2,8,12,18,0,0.0034706724010628957
NAV1,6,4,26,2,0.0016928238989559292
DNAAF4-CCPG1,4,1,29,4,0.004295316988815445
PMF1-BGLAP,5,2,28,3,0.001997423824049215
TBC1D8,6,10,20,2,0.049774932227743665
SPTA1,7,12,18,1,0.042244590631687534
AL162726.3,5,12,18,3,0.4257747483553941
PLXDC1,2,8,22,6,1.0
LINC00457,4,12,18,4,0.6984460741576514
CDK6,3,10,20,5,1.0
AP001347.1,8,8,22,0,0.0002631713907055973
UNC79,4,13,17,4,1.0
ITGAM,3,5,25,5,0.3269989799501434
ARHGAP40,4,2,28,4,0.011648575116067416
CCDC83,3,6,24,5,0.3630773851486934
AL138752.2,6,11,19,2,0.10657578399513885
RFX1,4,3,27,4,0.02451677683875827
POU3F3,4,3,27,4,0.02451677683875827
FLRT1,1,4,26,7,1.0
RNU6-1279P,2,3,27,6,0.27930717094803864
CLCC1,4,2,28,4,0.011648575116067416
SH2D7,3,3,27,5,0.0940050661412895
KCTD21-AS1,3,4,26,5,0.14612128311818728
ZNF564,3,3,27,5,0.0940050661412895
AC016597.1,3,3,27,5,0.0940050661412895
LEF1-AS1,2,5,25,6,0.6236050996112921
AC109445.1,3,2,28,5,0.052826820628678335
ARAP1,2,5,25,6,0.6236050996112921
RUNX1T1,4,17,13,4,1.0
AC104777.3,1,5,25,7,1.0
TAOK1,6,2,28,2,0.000253990042265285
KCNJ3,4,16,14,4,1.0
MUC19,5,19,11,3,1.0
LINC01911,4,7,23,4,0.19495871583158175
AC095050.1,4,8,22,4,0.2319489168585348
NOVA2,3,3,27,5,0.0940050661412895
AC244453.1,6,3,27,2,0.0007189057174076666
MTHFD2L,4,6,24,4,0.1700531324020792
RNU6-1159P,1,5,25,7,1.0
NR2F6,4,3,27,4,0.02451677683875827
YWHAE,4,2,28,4,0.011648575116067416
GABRR3,3,4,26,5,0.14612128311818728
NOS2P3,1,4,26,7,1.0
AC011369.1,5,5,25,3,0.01857407237912584
KLRG2,3,2,28,5,0.052826820628678335
AL031599.1,6,16,14,2,0.4262098911055281
LEFTY1,3,2,28,5,0.052826820628678335
THBS3,3,2,28,5,0.052826820628678335
AC079760.1,5,4,26,3,0.010133448139040891
PDP1,4,6,24,4,0.1700531324020792
AC122685.1,8,12,18,0,0.0034706724010628957
GLYAT,3,9,21,5,0.6892823113735946
MAPK6,4,2,28,4,0.011648575116067416
ABI2,5,3,27,3,0.004903146793689084
CKAP4,0,8,22,8,0.163813577975168
SOX5,7,23,7,1,0.6600304125521346
ITGA9-AS1,4,2,28,4,0.011648575116067416
SLCO1B3,6,10,20,2,0.049774932227743665
NDUFC2-KCTD14,6,5,25,2,0.0035015290932598536
LPP-AS1,4,1,29,4,0.004295316988815445
DYDC1,3,2,28,5,0.052826820628678335
LRTM1,5,2,28,3,0.001997423824049215
AC090124.1,8,16,14,0,0.016784936339515437
SEMA3F-AS1,1,5,25,7,1.0
MRM2,3,4,26,5,0.14612128311818728
MZF1,0,5,25,8,0.5632164672412358
ZIC1,6,10,20,2,0.049774932227743665
LINC01228,3,2,28,5,0.052826820628678335
KDM1A,4,3,27,4,0.02451677683875827
AC100872.1,2,6,24,6,1.0
TAF2,4,3,27,4,0.02451677683875827
LCT,2,4,26,6,0.5870410235735337
EML5,4,7,23,4,0.19495871583158175
CAMK2G,5,2,28,3,0.001997423824049215
C16orf87,2,3,27,6,0.27930717094803864
AL355877.1,3,2,28,5,0.052826820628678335
DYNC1H1,6,3,27,2,0.0007189057174076666
FAM174A,3,7,23,5,0.4112138249759355
AC010148.1,3,3,27,5,0.0940050661412895
AC004805.1,4,6,24,4,0.1700531324020792
AC108734.1,2,4,26,6,0.5870410235735337
PHBP13,0,5,25,8,0.5632164672412358
OR4A8,2,4,26,6,0.5870410235735337
SPTLC3,5,5,25,3,0.01857407237912584
NT5DC3,2,5,25,6,0.6236050996112921
MFSD1,3,12,18,5,1.0
HBG2,6,11,19,2,0.10657578399513885
GGT7,3,7,23,5,0.4112138249759355
AC015853.3,1,7,23,7,0.6600304125521346
MYL6P4,3,3,27,5,0.0940050661412895
PTCHD1-AS,6,23,7,2,1.0
FAM90A28P,2,3,27,6,0.27930717094803864
ZNF66,3,2,28,5,0.052826820628678335
CPEB4,0,6,24,8,0.3090878663634098
AC117440.1,0,5,25,8,0.5632164672412358
METTL6,4,4,26,4,0.04413040688382748
SGO1,2,3,27,6,0.27930717094803864
CREB3L2,6,4,26,2,0.0016928238989559292
TAT,0,5,25,8,0.5632164672412358
OR2T5,0,5,25,8,0.5632164672412358
NSMCE2,6,9,21,2,0.03907735259477998
VPS13B,6,18,12,2,0.6836328988531148
RF00424,2,4,26,6,0.5870410235735337
PCED1B,3,11,19,5,1.0
CYP20A1,4,5,25,4,0.07132797387965682
AC012501.2,2,6,24,6,1.0
FAM153C,3,5,25,5,0.3269989799501434
OSBPL3,3,11,19,5,1.0
AC018685.1,4,2,28,4,0.011648575116067416
AC005253.2,0,7,23,8,0.30743338328477654
BNIP3P41,6,5,25,2,0.0035015290932598536
PRDM2,4,7,23,4,0.19495871583158175
SAMD3,5,10,20,3,0.2230247075198644
AC239727.1,8,21,9,0,0.15909563267997318
GGA2,4,5,25,4,0.07132797387965682
AL662889.1,4,6,24,4,0.1700531324020792
GLTP,4,1,29,4,0.004295316988815445
CREBZF,5,0,30,3,0.00011156667503416735
IL6R,2,7,23,6,1.0
LINC02262,1,5,25,7,1.0
AFG1L,4,11,19,4,0.6869283894900606
AC079896.1,1,5,25,7,1.0
TAF4B,7,5,25,1,0.0004311962016945542
LHCGR,4,6,24,4,0.1700531324020792
ALG3,3,2,28,5,0.052826820628678335
AC004908.1,2,3,27,6,0.27930717094803864
AD000671.2,1,5,25,7,1.0
ARMC4,6,11,19,2,0.10657578399513885
PKHD1L1,3,14,16,5,0.7087263216295476
NPAS2,4,10,20,4,0.43317561044516156
KCTD1,4,10,20,4,0.43317561044516156
UGT1A6,1,4,26,7,1.0
KCNS3,7,15,15,1,0.10557266544483201
PRDM11,6,6,24,2,0.006571861984825153
CCBE1,7,8,22,1,0.003158056688467159
SH2B2,1,4,26,7,1.0
COL4A5,4,11,19,4,0.6869283894900606
RGS7,8,27,3,0,1.0
ZNF19,2,7,23,6,1.0
SPIRE1,4,9,21,4,0.40681168534958634
CD8A,0,5,25,8,0.5632164672412358
RNF111,4,7,23,4,0.19495871583158175
FAM57A,3,2,28,5,0.052826820628678335
THSD4-AS1,3,4,26,5,0.14612128311818728
ZNF765,4,8,22,4,0.2319489168585348
CMTM4,3,5,25,5,0.3269989799501434
SMARCA4,6,7,23,2,0.011430410736313054
SCIN,2,6,24,6,1.0
ARPP21,5,15,15,3,0.6968376000634076
CHAMP1,3,2,28,5,0.052826820628678335
STK32C,8,4,26,0,1.0121976565599883e-05
KCNQ2,6,2,28,2,0.000253990042265285
LINC01122,6,23,7,2,1.0
CACNA2D4,6,10,20,2,0.049774932227743665
CBLB,7,14,16,1,0.0534311128538633
SPAST,3,3,27,5,0.0940050661412895
CLNK,3,12,18,5,1.0
NFE2L3,4,2,28,4,0.011648575116067416
LINC02221,2,6,24,6,1.0
AC015845.2,4,1,29,4,0.004295316988815445
AL954650.1,5,10,20,3,0.2230247075198644
AL365259.1,6,11,19,2,0.10657578399513885
GRAMD2A,3,2,28,5,0.052826820628678335
MAN1A1,3,7,23,5,0.4112138249759355
GYG1P2,2,4,26,6,0.5870410235735337
PTGES3L-AARSD1,5,2,28,3,0.001997423824049215
AL590079.1,0,6,24,8,0.3090878663634098
PDXDC1,4,13,17,4,1.0
PPARGC1B,4,3,27,4,0.02451677683875827
NINJ2,3,5,25,5,0.3269989799501434
FAM20A,4,1,29,4,0.004295316988815445
RPSAP52,3,3,27,5,0.0940050661412895
GLRA3,4,5,25,4,0.07132797387965682
AC092042.3,6,9,21,2,0.03907735259477998
CDC40,3,5,25,5,0.3269989799501434
HDAC2,4,2,28,4,0.011648575116067416
STPG1,4,2,28,4,0.011648575116067416
VPS45,3,5,25,5,0.3269989799501434
SCN3A,4,10,20,4,0.43317561044516156
GPC5-AS1,0,6,24,8,0.3090878663634098
PGM1,3,3,27,5,0.0940050661412895
RGS8,2,6,24,6,1.0
AC083800.1,3,5,25,5,0.3269989799501434
DPYSL2,3,12,18,5,1.0
AC090001.1,2,8,22,6,1.0
CSPG4,4,1,29,4,0.004295316988815445
CMIP,5,9,21,3,0.11659122420133158
DAAM2,6,3,27,2,0.0007189057174076666
AC107021.1,3,4,26,5,0.14612128311818728
AL121972.1,4,6,24,4,0.1700531324020792
DENND4C,4,8,22,4,0.2319489168585348
SAMD13,4,6,24,4,0.1700531324020792
AC004908.3,2,3,27,6,0.27930717094803864
USH2A,8,24,6,0,0.3090878663634093
KIF6,8,17,13,0,0.03354692953214874
BEND3,2,4,26,6,0.5870410235735337
SNU13,3,6,24,5,0.3630773851486934
SPTBN1,6,6,24,2,0.006571861984825153
NSMCE1,5,6,24,3,0.031134525117347517
MAPK1,4,2,28,4,0.011648575116067416
MUPP,3,4,26,5,0.14612128311818728
EP400,4,6,24,4,0.1700531324020792
AL589935.1,6,12,18,2,0.11714353649837526
ZNF398,4,3,27,4,0.02451677683875827
AC020914.2,2,4,26,6,0.5870410235735337
DHPS,1,4,26,7,1.0
FAM193A,4,1,29,4,0.004295316988815445
AL513534.1,2,4,26,6,0.5870410235735337
ADGRE3,1,11,19,7,0.39336070315796745
DLGAP2,8,12,18,0,0.0034706724010628957
LINC02006,6,18,12,2,0.6836328988531148
LAMA5,2,5,25,6,0.6236050996112921
AC137770.1,2,4,26,6,0.5870410235735337
GLRX,3,5,25,5,0.3269989799501434
AC022523.1,4,14,16,4,1.0
PDZD2,5,16,14,3,0.708726321629548
AC097468.1,2,4,26,6,0.5870410235735337
FPR2,2,3,27,6,0.27930717094803864
ANO6,4,6,24,4,0.1700531324020792
AC091826.2,5,8,22,3,0.0940763493944359
GMEB1,2,6,24,6,1.0
B4GALT7,1,4,26,7,1.0
ADCY10,4,9,21,4,0.40681168534958634
INTS6,3,3,27,5,0.0940050661412895
CR1L,5,14,16,3,0.6927954347309196
PLA2R1,2,9,21,6,1.0
PPP5C,3,3,27,5,0.0940050661412895
AC122694.1,1,4,26,7,1.0
AC007333.2,0,9,21,8,0.15909563267997334
LMX1A,4,10,20,4,0.43317561044516156
RPS29P10,2,4,26,6,0.5870410235735337
SNX25,3,5,25,5,0.3269989799501434
FAM208B,2,5,25,6,0.6236050996112921
CDH8,8,27,3,0,1.0
HERC4,5,3,27,3,0.004903146793689084
ZNF695,4,5,25,4,0.07132797387965682
GALM,3,3,27,5,0.0940050661412895
CCNYL2,5,7,23,3,0.0806253672028167
IL34,4,1,29,4,0.004295316988815445
GPC5,8,28,2,0,1.0
NR5A2,6,12,18,2,0.11714353649837526
AC016596.1,3,2,28,5,0.052826820628678335
PLP1,2,5,25,6,0.6236050996112921
AL157896.1,4,2,28,4,0.011648575116067416
BAIAP2L1,4,11,19,4,0.6869283894900606
RBM45,0,5,25,8,0.5632164672412358
TENM3,8,18,12,0,0.038517944689921244
PIK3C3,6,7,23,2,0.011430410736313054
AC011897.1,1,6,24,7,1.0
SMPDL3B,2,4,26,6,0.5870410235735337
SLITRK4,3,6,24,5,0.3630773851486934
PTPN6,3,4,26,5,0.14612128311818728
AC011447.3,4,13,17,4,1.0
CASC18,2,3,27,6,0.27930717094803864
SBSPON,4,6,24,4,0.1700531324020792
ZNF674,2,4,26,6,0.5870410235735337
ZNF571-AS1,2,5,25,6,0.6236050996112921
NELL2,6,18,12,2,0.6836328988531148
VPS50,3,3,27,5,0.0940050661412895
TANC1,6,4,26,2,0.0016928238989559292
ARR3,2,3,27,6,0.27930717094803864
C21orf33,3,4,26,5,0.14612128311818728
MYH15,3,9,21,5,0.6892823113735946
DBNL,2,3,27,6,0.27930717094803864
SH3RF1,6,6,24,2,0.006571861984825153
TMEM192,3,6,24,5,0.3630773851486934
NR2F1-AS1,7,6,24,1,0.0009035551080892134
C2CD3,4,6,24,4,0.1700531324020792
AC005993.1,4,7,23,4,0.19495871583158175
AC124254.1,5,16,14,3,0.708726321629548
ARL6IP6,0,5,25,8,0.5632164672412358
GCFC2,2,6,24,6,1.0
VSTM2B,3,2,28,5,0.052826820628678335
AC108010.1,3,6,24,5,0.3630773851486934
ZFYVE26,3,2,28,5,0.052826820628678335
PCCB,1,4,26,7,1.0
AL358335.2,4,8,22,4,0.2319489168585348
INPP4A,4,1,29,4,0.004295316988815445
AC023908.2,3,5,25,5,0.3269989799501434
IGSF21,4,16,14,4,1.0
NFASC,6,11,19,2,0.10657578399513885
LINC00511,5,6,24,3,0.031134525117347517
TCP10L2,1,5,25,7,1.0
ATP1B3,1,7,23,7,0.6600304125521346
LINC00879,6,21,9,2,1.0
XKR6,6,9,21,2,0.03907735259477998
SVILP1,2,10,20,6,1.0
AC073050.1,3,14,16,5,0.7087263216295476
ACSL6,6,6,24,2,0.006571861984825153
CELSR3,1,4,26,7,1.0
C2orf83,4,3,27,4,0.02451677683875827
FAM234B,3,8,22,5,0.6670881907574223
PTGFR,4,12,18,4,0.6984460741576514
AL355076.2,1,8,22,7,0.6503169957679114
RUFY3,3,7,23,5,0.4112138249759355
ITGA8,4,16,14,4,1.0
FYCO1,4,4,26,4,0.04413040688382748
SNTB2,2,7,23,6,1.0
TMEM5-AS1,0,5,25,8,0.5632164672412358
AP001458.2,3,4,26,5,0.14612128311818728
AC098934.3,1,4,26,7,1.0
TSGA10,3,8,22,5,0.6670881907574223
TMLHE-AS1,4,6,24,4,0.1700531324020792
RCL1,0,8,22,8,0.163813577975168
LILRA2,1,6,24,7,1.0
KLF3-AS1,3,4,26,5,0.14612128311818728
NOX5,6,3,27,2,0.0007189057174076666
AC009139.1,3,2,28,5,0.052826820628678335
CELF2,4,17,13,4,1.0
AC009081.1,1,6,24,7,1.0
MEI4,4,17,13,4,1.0
