egID	Symbol	mutation_rate	expr_logFC	expr_adjpv	expr_SCNA_cor_r	expr_SCNA_cor_p	expr_met_cor_r	expr_met_cor_p
152098	ZCWPW2	0.8	-1.239	1.32e-09	0.163	0	0.229	0
64431	ACTR6	0.8	-0.035	0.826	0.257	0	-0.188	0
84733	CBX2	0.8	2.37	1.52e-21	0.174	0	-0.437	0
23492	CBX7	0.8	-3.495	2.88e-72	0.237	0	-0.124	0.008
124359	CDYL2	0.8	1.149	3.15e-06	0.288	0	-0.216	0
80314	EPC1	0.8	-0.877	1.73e-05	0.214	0	-0.039	0.396
83933	HDAC10	0.8	0.39	0.009	0.479	0	-0.265	0
84759	PCGF1	0.8	0.707	1.33e-15	0.404	0	-0.122	0.009
11105	PRDM7	0.8	NA	NA	NA	NA	NA	NA
56978	PRDM8	0.8	-3.889	2.92e-41	0.058	0.177	-0.265	0
8607	RUVBL1	0.8	0.918	1.59e-15	0.37	0	-0.243	0
6996	TDG	0.8	1.005	3.71e-20	0.351	0	-0.174	0
6944	VPS72	0.8	0.62	3.07e-10	0.701	0	-0.433	0
59335	PRDM12	0.8	NA	NA	NA	NA	NA	NA
23409	SIRT4	0.8	-0.554	0.000161	0.216	0	-0.136	0.003
8193	DPF1	0.4	1.785	1.81e-08	0.255	0	-0.335	0
4255	MGMT	0.4	0.478	0.00767	0.314	0	-0.258	0
7703	PCGF2	0.4	0.311	0.0501	0.376	0	-0.186	0
29844	TFPT	0.4	1.079	2.42e-15	0.296	0	-0.192	0
55869	HDAC8	0.4	0.549	5.52e-12	0.181	0	-0.221	0
53615	MBD3	0.4	0.219	0.0808	0.441	0	-0.084	0.07
54799	MBTD1	0.4	-0.297	0.0387	0.385	0	-0.14	0.002
3275	PRMT2	0.4	-0.375	0.000132	0.391	0	-0.169	0
8089	YEATS4	0.4	0.183	0.273	0.226	0	-0.095	0.041
7528	YY1	0.4	0.312	0.000254	0.375	0	-0.126	0.006
125476	INO80C	0.4	0.304	0.00344	0.412	0	-0.208	0
64769	MEAF6	0.4	-0.109	0.259	0.386	0	-0.039	0.401
79969	ATAT1	0.4	0.804	6.29e-16	0.406	0	-0.382	0
54108	CHRAC1	0	0.11	0.325	0.582	0	-0.307	0
84289	ING5	0	-0.371	0.000572	0.353	0	0.047	0.309
8284	KDM5D	0	NA	NA	NA	NA	NA	NA
3276	PRMT1	0	0.556	4.63e-06	0.311	0	-0.095	0.04
51548	SIRT6	0	0.709	1.3e-09	0.525	0	NA	NA
10285	SMNDC1	0	-0.185	0.13	0.293	0	-0.151	0.001
84787	KMT5C	0	0.799	2.15e-10	0.33	0	-0.207	0
6941	TCF19	0	0.762	1.29e-05	0.281	0	-0.163	0
7404	UTY	0	NA	NA	NA	NA	NA	NA
79609	VCPKMT	0	-0.03	0.841	NA	NA	-0.328	0
23067	SETD1B	0	-0.387	6e-06	0.334	0	-0.113	0.015
6607	SMN2	0	0.512	4.17e-05	0.33	0	NA	NA
93166	PRDM6	0	-1.228	0.000224	0.041	0.343	-0.076	0.101
6606	SMN1	0	0.93	0.00425	0.152	0	NA	NA
9866	TRIM66	0	-0.301	0.0277	0.334	0	-0.03	0.513
79697	RIOX1	0	0.24	0.154	0.196	0	-0.428	0
91646	TDRD12	0	-0.104	0.82	0.335	0	-0.341	0
