Hybridization REF,ACVR2A|92,ADNP2|22850,AFF1|4299,BCOR|54880,BLNK|29760,BTBD11|121551,CNTLN|54875,CSNK1G1|53944,CTCF|10664,CTNNA2|1496,DOCK3|1795,DONSON|29980,DRD5|1816,ESF1|51575,ESRP1|54845,G3BP1|10146,GPAT2|150763,HAS2|3037,JAK1|3716,KCNA4|3739,KCNH7|90134,KRAS|3845,MAGI1|9223,MESDC1|59274,MUM1L1|139221,NCOA3|8202,PAPD5|64282,PCDH9|5101,PIK3CA|5290,POF1B|79983,PTEN|5728,RNF43|54894,RPL22|6146,SIKE1|80143,SOX17|64321,ZBTB20|26137,ZMIZ1|57178,ZNF609|23060,ZNF626|199777,Class
TCGA-B5-A3FC-01A-11R-A22K-07,298.5948,434.4262,1083.7237,786.8852,142.8571,171.5457,199.6487,662.1780,1638.1733,512.2951,33.3724,262.6405,2.9274,434.4262,1901.0539,2834.3091,38.0562,2.9274,1045.0820,0.0000,0.5855,916.2763,311.4754,420.9602,6.4403,720.1405,569.0867,1.7564,200.2342,0.0000,1600.1171,275.7611,18558.5480,1072.0141,12808.5480,4.0984,1201.9906,700.2342,16.3934,2
TCGA-B5-A3FD-01A-11R-A19W-07,328.3470,372.5959,1025.7700,582.7781,170.4588,162.9164,169.9560,661.7222,944.3118,4313.2621,22.6273,384.6637,0.5028,278.0641,2298.9315,1851.9170,13.5764,5.0283,1256.0654,1.0057,0.0000,844.2489,384.1609,784.9151,8.0453,678.3155,337.9007,14.0792,128.2212,13.0735,522.9415,32.1810,13404.9026,836.7065,14327.5927,2.5141,1077.5613,1043.8718,886.9893,0
TCGA-B5-A3FH-01A-11R-A19W-07,287.9239,408.6853,1465.7942,1149.3159,220.1071,1569.8989,77.3349,836.4069,1632.3617,954.1939,7.1386,222.4866,0.0000,281.3801,2584.1761,3000.0000,4.7591,11.3028,3437.2397,0.0000,0.0000,1530.0416,950.6246,390.2439,0.5949,1263.5336,658.5366,208.8043,237.9536,129.6847,1372.9923,286.7341,5117.7870,638.3105,11427.1267,6.5437,2301.0113,987.5074,4.1642,2
TCGA-B5-A3S1-01A-11R-A22K-07,501.6656,859.4270,1071.2858,820.1199,243.8374,33.3111,257.8281,526.3158,1283.8108,79.2805,120.5863,247.9813,0.6662,856.7622,2078.6143,3219.8534,197.1419,21.3191,2516.3225,2.6649,0.0000,1497.0020,426.3824,492.3384,205.1965,38372.4184,261.8254,43.3045,315.7895,193.8708,2171.2192,584.9434,16782.8115,1267.8215,1984.6769,3.9973,2147.2352,810.7928,6.6622,2
TCGA-B5-A5OC-01A-21R-A27V-07,342.0460,681.8387,5324.9211,1182.9653,341.5953,77.9630,223.5241,659.3060,1202.7941,72.1046,28.3912,304.1235,0.0000,473.6368,2332.5822,2718.3416,7.6611,72.5237,3362.3254,0.0000,0.0000,1799.0086,498.8734,566.0207,661.5593,2218.1163,651.6449,15.7729,360.5228,241.0996,1618.2965,1167.6431,6474.5381,1018.4768,2321.3159,12.1676,2044.6147,1202.3434,42.8121,2
TCGA-B5-A5OD-01A-11R-A31O-07,693.5484,380.0157,1422.5020,485.8379,509.8348,37.7655,46.4201,420.9284,1476.7899,167.5846,467.7419,231.7585,215.5783,483.0842,1744.2958,1575.5311,25.1770,0.7868,1631.7860,0.0000,0.0000,868.2140,663.2573,415.4209,79.8584,457.9072,229.7404,121.5578,297.4036,10.6216,2254.5240,661.6837,8436.6640,892.2109,2125.4917,2.3603,2455.1534,724.6263,388.2769,0
TCGA-B5-A5OE-01A-11R-A31O-07,324.9635,303.5569,1304.6109,367.4793,511.0816,8.9194,14.5684,454.2948,696.0105,0.0000,382.0476,456.2957,0.5946,313.6656,2785.2313,1344.4509,8.9194,1.4866,2422.5090,0.2973,0.0000,287.2047,232.2017,949.9161,1.1893,1976.2417,221.7957,0.2973,642.7914,0.0000,1133.0611,613.6547,11417.7237,729.6069,1614.7087,8.9194,1287.3667,605.6272,198.6053,0
TCGA-BG-A0MK-01A-51R-A19W-07,258.2992,546.1573,1445.2024,693.4970,163.7108,643.9291,243.2924,777.6262,757.1623,152.7967,29.1041,97.0350,0.0000,201.9100,1628.9222,1736.6985,5.4570,2.2738,2107.7763,0.0000,0.0000,956.3438,713.5061,597.9991,25.9209,795.8163,778.0809,0.4548,124.1473,15.0068,1364.7112,307.4125,5784.9022,459.7544,5136.8804,14.5521,2343.3379,1536.6075,29.5589,1
TCGA-BG-A3EW-01A-11R-A22K-07,281.0743,847.5953,5121.4866,1618.0512,229.2317,30.9182,180.5122,861.9644,1959.4004,0.9369,8.4322,503.9038,0.0000,421.2992,1539.0381,3138.6633,7.1830,4.9344,2724.5472,0.0000,0.6246,1007.8076,915.9900,563.0856,48.0949,1269.5191,643.9725,63.3979,306.6833,4.0600,2636.4772,368.8320,6386.9457,903.1855,2878.8257,6.5584,2333.2292,1678.3260,8.1199,1
TCGA-BG-A3PP-01A-11R-A22K-07,623.9371,643.0697,1658.1633,1063.9881,155.1871,247.6616,281.1437,408.1633,1650.7228,561.2245,137.6488,173.6076,0.0000,417.7296,3465.6675,4739.0519,5.3146,18.9201,2456.9515,1.5944,0.5315,1337.1599,248.1930,224.2772,138.7117,1081.5264,625.0000,50.4889,757.3342,40.9226,232.7806,857.2491,14376.5944,775.9354,6653.9116,7.9719,1526.8920,587.2662,355.0170,0
TCGA-BK-A13B-01A-51R-A22K-07,144.3955,496.3289,1887.4205,1625.5507,361.2335,4.4053,174.7430,443.4655,973.0788,130.6902,7.8316,294.0627,0.0000,244.2487,1236.4170,2418.5022,5.3842,24.4738,1755.7513,0.9790,0.9790,1227.6065,604.9927,958.3945,14.6843,1544.2976,344.1018,36.7107,206.0695,93.9794,3046.5002,2504.6500,12294.6647,827.2149,7334.3123,4.4053,1165.9325,982.3789,5.3842,1
TCGA-BK-A4ZD-01A-11R-A27V-07,534.4087,609.4503,4356.6231,1327.9565,30.1569,115.0171,272.4643,651.8804,660.9976,65.2231,7.0132,252.4555,0.0000,445.3406,3161.2168,1684.9303,591.1563,4.1133,3524.8532,0.3507,0.3507,1116.1567,686.2453,252.4765,6.6626,1017.6208,569.4749,7.3639,442.8859,51.1966,1676.5144,596.4758,13105.9876,1205.9262,9190.1464,2.1040,2767.4235,974.1387,677.4787,2
TCGA-BK-A56F-01A-32R-A27V-07,410.7971,577.3935,2136.6512,986.0818,375.3690,230.7043,194.8545,892.8722,1598.9034,602.2775,20.6664,280.8224,0.0000,522.1426,2198.2286,2223.1126,158.1611,21.9022,2685.7866,1.6871,0.0000,933.3615,1352.5938,476.1704,47.2375,1250.5272,636.0186,9.7005,1440.3205,20.6664,2510.7550,881.4846,15445.8035,857.0224,6288.4859,5.0612,2716.9970,1485.4492,180.9363,2
TCGA-BS-A0V4-01A-11R-A14D-07,111.3636,136.4204,616.6760,133.6363,125.2841,8.3523,247.7840,261.7045,696.0226,0.0000,13.9205,144.7727,0.0000,11.1364,1286.2497,941.0225,133.6363,5.5682,909.0055,0.0000,0.0000,226.9034,711.3351,505.3124,29.2329,346.6192,283.9772,0.0000,13.9205,91.8750,1380.9088,457.9829,15472.5819,218.5511,6964.4019,0.0000,489.9999,444.0624,64.0341,1
TCGA-BS-A0V7-01A-21R-A118-07,414.9533,145.7944,547.6636,84.1121,211.2150,461.6822,125.2336,351.4019,861.6822,721.4953,87.8505,261.6822,0.0000,41.1215,697.1963,469.1589,54.2056,41.1215,869.1589,0.0000,0.0000,226.1682,1446.7290,583.1776,63.5514,551.4019,564.4860,0.0000,0.0000,0.0000,3295.3271,575.7009,13527.1028,179.4393,8078.5047,26.1682,1321.4953,379.4393,242.9907,0
TCGA-D1-A2G0-01A-11R-A32Y-07,171.6038,1791.5678,1163.7638,464.6596,80.3638,24.7738,36.2543,606.6617,1586.1267,0.0000,43.5052,423.0698,0.0000,409.6739,364.3560,4758.3800,18.1272,1.8127,1299.1133,0.0000,0.6042,917.2344,200.6073,433.2392,1.2085,1128.7180,635.0549,0.0000,224.7768,133.5368,758.9239,192.7522,7804.3475,677.9559,1517.2435,0.6042,1271.9225,424.1756,413.2993,1
TCGA-D1-A3DA-01A-12R-A213-07,524.2679,784.9926,3224.9995,968.6743,361.7261,238.6453,96.3037,690.0982,1266.0413,146.5695,5.1675,162.1097,0.0000,300.1857,2589.8649,2879.7155,4.6977,7.0466,3333.9871,0.0000,0.4698,1046.6568,607.4180,442.5272,57.3124,810.8302,770.4296,30.0655,299.7159,104.7596,2820.9937,406.8244,5327.2388,700.9030,4600.0284,6.1071,2292.4978,928.7435,4.6977,2
TCGA-D1-A3DG-01A-11R-A19W-07,197.4522,637.8526,568.2439,859.8726,101.9108,88.2621,443.5851,592.8116,924.9318,218.3803,13.1938,623.3485,0.0000,303.0027,1841.2193,2789.8089,4.0946,43.6761,1442.2202,3.6397,2.7298,1181.5287,247.4977,610.1001,0.0000,707.9163,155.5960,24.5678,242.9481,12.7389,34.5769,658.7807,3890.3549,744.3130,4172.8844,0.4550,1099.6360,1003.1847,2.7298,2
TCGA-D1-A3DH-01A-11R-A19W-07,452.4145,218.7780,1055.9754,1299.3467,65.5822,69.1687,200.8454,307.4164,860.7660,144.4857,430.8954,405.4515,8.7101,433.4572,2268.2208,2635.0711,4.6112,10.5956,3868.8357,11.7843,0.5124,1001.6652,1040.6046,213.6544,21.0068,925.3234,402.2032,18.4450,272.5759,0.5124,510.3113,785.4490,6400.9222,920.7122,2793.3905,2.5618,578.9676,596.3879,510.3113,0
TCGA-D1-A3JQ-01A-11R-A22K-07,359.8164,407.1328,1574.5056,859.8164,312.8531,52.2599,225.9887,452.6836,1308.6158,162.4294,116.5254,274.7917,0.7062,351.6949,1883.8277,3448.0932,35.3107,4.5904,2295.5508,1.0593,2.4718,881.0028,393.3616,335.8051,46.2571,1292.0198,301.5537,38.8418,478.1073,40.2542,2799.7881,575.5650,7737.2881,960.8051,3549.7881,4.5904,1860.5226,776.8362,573.4463,0
TCGA-DF-A2KN-01A-11R-A180-07,189.9057,660.5415,1174.5254,990.8123,531.3231,157.2914,142.8421,1082.4624,1296.7256,44.5866,10.7338,276.6018,0.0000,247.2902,226.6483,2331.2987,12.3852,14.0365,3635.8682,0.4128,0.4128,1008.5643,440.4986,691.9172,73.4852,1336.7709,428.1135,5.7797,236.5564,21.0548,1543.6030,358.7566,3985.5424,727.8342,9011.4377,5.7797,1588.1895,1038.2887,266.2808,1
TCGA-DF-A2KR-01A-11R-A180-07,252.1828,298.4078,1518.2332,1262.9687,228.0431,846.9440,87.8274,511.5562,1607.0878,4.6225,21.5716,88.3410,0.0000,330.2517,1767.3344,3263.9959,9.2450,3.5953,2592.1931,0.0000,1.0272,1577.2984,139.1885,254.2373,1.5408,2573.7031,1156.1376,1.0272,261.4278,1.0272,1364.1500,342.5783,6658.4489,743.1947,4034.9255,5.6497,1191.5768,736.0041,184.8998,0
TCGA-DF-A2KU-01A-11R-A180-07,282.6361,413.0404,459.4935,270.3232,243.4588,165.6639,194.2074,584.3011,887.0855,1.1194,13.4322,349.8643,0.0000,70.5191,1648.2440,1128.8653,71.6384,2.7984,1393.5917,0.0000,0.0000,488.5966,213.7960,429.2710,5.0371,369.3858,230.0266,78.3546,66.6014,0.5597,883.1678,1496.5720,11883.5875,485.2386,11369.8055,2.7984,635.2316,625.7171,233.3846,2
TCGA-DF-A2KV-01A-11R-A180-07,208.6756,394.2931,934.4286,296.2963,642.1675,24.2110,160.8301,480.7609,1328.1453,445.5973,8.6468,251.5060,0.0000,147.5717,1955.9014,1720.1326,7.4939,1.1529,1512.6099,0.0000,0.0000,714.8004,162.5594,788.5863,7.4939,732.6704,285.9202,1.7294,144.1130,9.2232,1680.9339,314.1663,11699.6685,423.1157,8358.5531,0.0000,1096.4116,707.3065,5.1881,2
TCGA-DF-A2KZ-01A-11R-A213-07,383.8710,424.1935,1116.9355,542.7419,405.6452,280.6452,86.2903,404.0323,1616.9355,391.1290,1.6129,150.0161,0.0000,195.9677,1524.1935,1903.2258,18.5484,11.2903,3261.2903,0.0000,0.0000,737.0968,318.5484,1031.4516,95.9677,893.5484,466.9355,1.6129,164.5161,59.6774,1383.0645,714.5161,9708.8710,528.2258,6303.2258,2.4194,1329.0323,598.3871,8.0645,1
TCGA-DF-A2L0-01A-11R-A180-07,158.8694,166.6667,316.7641,100.3899,134.5029,108.1871,73.0994,723.1969,346.9786,427.8752,13.6452,102.3392,0.0000,88.6940,2368.4211,1614.0351,10.7212,0.0000,494.1520,0.0000,0.0000,450.2924,319.6881,138.4016,5.8480,462.9630,622.8070,28.2651,169.5906,9.7466,488.3041,120.8577,13900.5848,628.6550,11101.3645,0.0000,210.5263,461.0136,264.1326,2
TCGA-DI-A1BU-01A-11R-A137-07,464.6681,563.8829,1596.7166,1497.5018,87.0807,21.4133,219.8430,452.5339,1735.9029,89.9358,27.8373,500.5996,0.0000,238.4011,1369.0221,2265.5246,5.7102,8.5653,556.7452,0.7138,0.0000,1097.7873,406.1385,655.9600,22.1271,1159.1720,715.9172,17.1306,269.8073,1.4276,1387.5803,228.4083,5468.2370,915.0607,2621.6988,3.5689,922.1984,465.3819,17.8444,2
TCGA-DI-A1C3-01A-41R-A137-07,303.4398,382.0639,1745.7002,350.1229,213.7592,248.7715,218.6732,357.4939,1179.9754,1194.7174,29.4840,306.6032,6.1425,261.6708,1495.7002,805.2826,36.8550,121.4066,1608.7224,0.6143,0.0000,460.0737,724.2015,845.8231,111.1794,575.5528,391.8919,8.5995,122.2359,2.4570,1968.0590,643.1204,17203.9312,574.3243,10243.2432,5.5283,2039.9263,845.2088,155.4054,0
TCGA-DI-A2QT-01A-12R-A19W-07,299.3865,463.8037,1366.2577,412.8834,787.1166,7.9755,84.6626,561.9632,1130.6748,1.8405,19.6319,406.6074,1.8405,329.4479,1114.1104,2767.4847,7.3620,11.0429,1805.5215,0.0000,0.0000,677.3006,172.3926,465.6442,36.8098,1433.7423,595.7055,1.8405,192.0245,144.1718,1918.4049,184.0491,10612.8834,571.7791,1192.0245,7.3620,838.6503,728.2209,11.0429,0
TCGA-DI-A2QY-01A-12R-A19W-07,452.2911,169.2722,1123.9892,706.1995,235.0404,123.9892,81.9407,246.9003,947.7089,618.3288,284.0970,354.2102,15.0943,177.8976,4725.0674,1243.1267,32.8841,1.6173,1499.7305,0.0000,0.0000,770.3504,248.5175,804.3127,62.5337,1133.1536,258.7601,26.4151,373.0458,14.0162,1499.1914,597.8437,7726.6846,747.7089,8183.2884,6.4690,1366.0377,451.2129,65.7682,0
TCGA-E6-A2P8-01A-11R-A19W-07,250.7987,894.0362,1325.3461,1150.6922,71.3525,46.3259,270.5005,861.0224,1239.6166,27.1565,27.6890,388.3227,1.0650,539.9361,2978.7007,3302.9819,6.3898,44.1960,1060.7029,1.0650,0.5325,1378.5942,686.3685,723.1097,19.7018,1987.2204,535.1438,69.2226,290.7348,859.9574,833.3333,113.9510,8975.5059,730.0319,1275.8253,2.1299,1933.9723,1618.2109,29.2865,2
TCGA-E6-A2P9-01A-11R-A19W-07,314.2704,634.9546,2287.9743,1688.0812,180.4383,6.4137,222.7686,797.0069,1238.2683,82.9503,14.9653,275.9123,0.0000,333.9391,1388.7761,2753.6077,2.5655,5.1309,576.3763,0.8552,0.0000,1086.4778,1414.4308,409.6205,21.3789,1391.7691,649.9198,28.2202,235.1684,4.2758,1644.4682,326.2427,8750.4009,949.6526,8465.2058,5.9861,4353.6077,1346.4458,7.2688,1
TCGA-EO-A1Y7-01A-11R-A157-07,184.4961,377.7778,1115.7623,640.8269,306.4599,195.3488,65.6331,698.7080,890.9561,74.4186,42.3773,235.9690,0.0000,242.3773,4638.7597,1743.6693,111.6279,3.1008,1210.3359,1.0336,1.0336,803.1008,451.1628,725.5814,0.0000,654.2636,680.1034,23.2558,194.8320,8.7855,934.3669,185.0129,16765.3747,666.1499,10444.4444,4.1344,2588.1137,1265.6331,541.6021,2
TCGA-EO-A22U-01A-11R-A180-07,294.6723,683.1683,1683.1683,1057.9915,27.3456,257.8972,123.0552,540.7826,1562.4705,249.8821,24.0453,571.5229,0.4715,509.1938,3375.7661,2984.4413,0.0000,14.1443,1359.2645,0.0000,0.0000,1038.6610,250.8251,673.7388,30.1744,928.8072,789.7218,44.3187,235.7379,1.8859,1103.7247,2533.7105,10898.6327,943.4229,4073.5502,0.9430,1130.1273,833.0976,113.1542,1
TCGA-EO-A22X-01A-11R-A180-07,604.5609,1356.6230,2066.4726,1031.5381,81.0286,107.7147,270.2572,513.3430,2271.7128,830.6647,5.8224,203.6536,0.0000,526.9287,1029.5973,1613.7797,17.4672,28.6269,1777.2926,0.4852,0.4852,860.2620,426.0068,403.2023,7.2780,680.7375,375.0607,2850.0728,295.4876,95.5847,1980.5919,1833.5759,11182.9209,980.5919,3258.6123,18.4377,888.4037,934.0126,9.7040,2
TCGA-EO-A22Y-01A-11R-A180-07,199.2597,1000.1058,806.7689,1650.3437,123.1095,361.7134,122.6864,835.9598,1263.6700,721.7345,13.5378,285.4744,0.4231,326.5997,3742.3585,2369.1169,6.3458,4.2306,1516.6579,2.1153,0.4231,1046.6420,996.7213,404.4421,28.7678,1000.1058,529.6668,20.3067,272.0254,9.7303,3468.6409,144.2623,10850.1322,574.5108,12975.9915,2.9614,3586.6737,1385.9334,8.4611,1
TCGA-EO-A3AS-01A-11R-A19W-07,300.8975,634.8876,3518.2331,1646.6630,268.4177,254.9355,202.8454,353.6005,876.9538,44.1235,29.4156,196.2146,0.0000,367.6955,3360.1240,3358.8984,416.1087,17.1591,4730.4026,0.0000,0.0000,1089.6043,693.1060,872.6640,74.7648,1306.5447,634.2747,19.6104,546.0278,131.7576,1225.6517,855.5049,3000.3953,1458.5255,2705.0132,7.9667,1265.4853,491.4863,221.2301,2
TCGA-EO-A3AU-01A-21R-A19W-07,353.2634,649.9315,2812.8708,1670.9265,336.8325,214.9703,132.3597,661.7983,1635.7827,30.5796,16.4309,270.7987,3.6513,425.8330,2774.0758,3286.1707,6.3898,75.3081,3720.2191,0.0000,0.4564,1320.8581,731.6294,516.6591,172.0675,2709.2652,845.2761,31.0361,323.1401,1038.3387,1753.9936,2720.2191,5739.3884,974.8973,2032.8617,15.5180,2690.0958,1657.6906,15.5180,1
TCGA-EO-A3AV-01A-12R-A19W-07,89.6195,441.7341,1458.3057,461.3549,404.0833,5.8332,69.9987,452.3399,975.2088,0.5303,7.4241,297.0807,0.0000,497.9451,925.8916,1907.4639,6.8938,18.0300,3647.8855,0.0000,2.6515,733.9255,97.5739,662.8662,10.0756,1095.5853,412.0377,3.7121,175.5270,132.5732,1338.4595,434.3100,6213.4429,499.5360,128.3309,18.5603,847.4082,807.1059,3.7121,2
TCGA-EO-A3AY-01A-12R-A19W-07,132.0468,300.6698,495.3303,269.6730,254.1745,915.0282,65.0935,480.4518,573.4425,44.0156,6.8193,137.4340,0.0000,63.2337,1433.2962,1400.4395,55.7944,12.3988,1782.3212,1.2399,0.0000,440.7758,104.7695,485.4113,56.4143,472.3926,375.6823,1.8598,70.0530,2.4798,1047.6949,340.3459,12908.9652,518.8880,10499.8869,0.0000,433.3365,404.8194,5.5794,2
TCGA-EO-A3AZ-01A-12R-A19W-07,270.6596,243.3662,329.0371,107.6573,41.6983,601.2130,63.6846,274.4503,376.0425,0.7582,21.9864,115.2388,0.0000,65.2009,1630.7809,770.2805,56.8613,68.2335,1841.5466,0.0000,2.2745,394.9962,107.6573,217.5891,28.8097,465.5042,218.3472,9.0978,37.9075,6.0652,530.7051,347.9909,4890.0682,263.8362,76.5732,0.7582,204.7005,209.2494,106.8992,2
TCGA-EO-A3B0-01A-12R-A19W-07,211.9966,1323.6536,1458.8014,1134.6233,136.9145,68.8989,100.2567,786.5956,1816.5457,896.5689,6.1832,515.7391,0.0000,429.7347,1716.2890,2869.4620,960.6095,36.2161,2277.1966,0.8833,0.0000,1078.5326,844.8947,545.0079,15.0164,850.1946,480.5256,132.4979,249.0960,7.5082,1866.0115,2073.5915,6809.5067,916.8852,6331.6311,5.7416,2077.5665,1165.0979,11.9248,2
TCGA-EO-A3B1-01A-12R-A19W-07,281.7460,637.4008,1802.5794,828.8690,66.9643,22.3214,94.7421,471.7262,1125.9921,30.7540,62.0040,438.0853,0.0000,465.2778,2100.1984,4017.8571,16.8651,7.4405,2778.2738,0.0000,0.0000,2576.8849,615.0794,328.8690,84.8214,1173.6111,236.1111,12.8968,595.2381,29.2659,1516.3690,641.3690,6502.4802,614.5833,2912.2024,7.9365,5403.7698,889.8810,215.7738,0
TCGA-EO-A3KU-01A-11R-A22K-07,471.0001,561.2927,1960.0363,1286.2738,105.0774,69.6996,339.5214,827.4183,1228.7189,46.4664,54.3868,489.1220,3.1682,922.9912,1353.3332,2699.2741,3.1682,54.3868,3290.1363,3.1682,0.0000,1305.2828,393.9082,1180.1404,84.4843,1686.5183,371.7310,71.8117,900.8141,168.4406,2274.7404,648.4172,7587.7482,1665.9252,1765.1943,8.9765,8132.1440,1295.7783,11.6166,0
TCGA-EO-A3KW-01A-11R-A22K-07,486.7242,713.2848,1668.0264,1491.3507,228.2927,136.8371,279.9097,803.7012,1378.7632,158.6617,18.7068,364.5235,0.0000,485.3385,3414.3443,3624.2766,22.1711,3.6755,2652.2139,0.6928,1.0393,1079.1074,157.2760,1175.7594,14.2033,1323.6820,256.3530,4.8499,682.7996,135.1049,1424.8375,231.0641,6788.5036,950.2381,6133.4179,6.5820,1306.7073,998.3909,58.8919,0
TCGA-EO-A3KX-01A-11R-A22K-07,429.4629,802.8675,1625.6880,1121.6392,337.7744,395.2579,202.8547,777.2138,1676.9955,60.3338,19.9529,481.8488,0.0000,504.5238,2285.0845,2072.7284,3.3255,29.3308,683.6251,0.0000,0.9501,1028.5256,806.6681,472.6942,5.2258,983.3939,964.8662,9.9765,243.7107,12.3518,1303.5908,843.7235,7468.0931,955.3648,13359.9056,8.0762,1676.5204,1065.1059,8.0762,1
TCGA-EO-A3L0-01A-11R-A22K-07,229.6059,716.6354,639.8057,664.9741,216.3594,1461.0884,353.6814,656.1431,1361.7397,523.2366,40.6226,294.5402,0.0000,331.6039,3330.1689,2254.5535,18.5451,8.3894,2303.5655,0.4415,0.0000,862.3468,493.2112,547.9634,45.9212,655.7015,559.0021,77.2712,149.2438,95.3748,2137.1012,374.8758,7828.6787,655.7015,11342.5323,1.3246,2489.4580,986.4223,474.6661,2
TCGA-EY-A1GL-01A-11R-A13S-07,233.7598,591.0433,1328.7402,881.8898,8.3661,354.8228,53.6417,394.6850,1256.8898,57.5787,20.1772,77.7953,0.4921,289.8622,2168.7992,3719.9803,3.4449,255.7234,2210.6299,0.0000,0.4921,833.1693,385.8268,1056.5945,337.5984,795.7677,184.5472,43.3071,229.3307,6.3976,1564.9606,4908.9567,8676.6732,747.0472,1648.6220,4.4291,2695.3740,855.3150,5.9055,1
TCGA-EY-A1GO-01A-11R-A14D-07,440.6048,655.5076,1758.6393,970.3024,178.1857,72.3542,90.7127,293.7365,1578.8337,5.9395,3.7797,241.1771,0.0000,226.7819,2365.5508,1799.6760,4.8596,16.7387,2329.9136,0.0000,0.5400,1322.3542,227.3218,753.2397,86.9330,524.8380,146.8683,12.4190,174.9460,2.6998,761.8790,471.3823,7016.7387,475.1620,134.4492,1.6199,3739.2009,712.2030,7.0194,2
TCGA-EY-A1GP-01A-11R-A13S-07,715.2217,905.1372,878.5490,1167.9802,61.5326,349.4445,290.1909,411.7368,1573.2599,292.8497,13.2941,208.0638,0.3798,477.0677,2099.7056,1522.7424,9.8756,166.6091,1988.4152,0.0000,1.1395,1305.4791,349.0647,543.1583,60.0133,976.5454,440.6039,159.5290,270.4397,4.5580,1595.6699,3085.3670,3558.6364,860.6970,1904.0927,3.7983,4539.3600,1084.4174,22.0302,0
TCGA-EY-A1GX-01A-12R-A13S-07,112.4050,405.3508,1797.3246,952.7476,527.3795,4.6194,33.4905,765.6626,1304.5905,334.9052,9.2388,242.2635,0.3849,199.0184,3244.7310,1539.4091,6.5441,0.7699,2216.1486,0.7699,0.0000,829.5640,720.6236,201.3281,0.0000,1893.1768,562.0248,0.0000,150.8998,0.0000,1288.0377,2125.3007,7323.2605,335.6751,7147.3390,5.3893,4726.3978,1650.6592,0.7699,1
TCGA-EY-A210-01A-11R-A157-07,394.8629,458.4240,932.9560,293.8616,805.3983,616.0209,330.8663,250.7619,755.3330,202.4380,143.6657,396.6870,0.8707,215.9338,1668.2630,1636.4824,6.0949,4.7889,1915.5420,0.0000,1.3061,643.4480,215.9338,554.6365,40.4876,1413.1476,152.3727,9.1424,247.7144,0.8707,1744.4493,920.3309,6789.2904,747.9321,32.2159,4.7889,1802.7862,509.3600,112.7558,0
TCGA-EY-A2ON-01A-21R-A18M-07,156.0453,378.2013,2205.4795,681.3580,350.8041,11.3163,84.5742,581.8940,1358.5468,15.4854,74.4491,352.8350,0.0000,406.7898,2876.1167,3491.3639,7.7427,4.1691,5589.0411,0.5956,0.0000,710.5420,594.9970,399.0471,0.5956,2579.5116,409.7677,1.7868,612.8648,92.3169,1088.7433,167.9571,8911.2567,810.6015,2044.0739,10.1251,1474.6873,795.7117,605.7177,0
TCGA-EY-A2OO-01A-11R-A19W-07,662.7525,1032.8793,2358.8539,1045.5613,523.7201,490.3711,57.3039,635.9793,1470.1738,735.0869,93.9408,193.4101,1.8788,307.6562,2416.6275,2488.9620,28.1822,24.4246,3416.6275,2.3485,0.0000,1345.2325,960.5449,379.9906,60.1221,1289.8074,576.7966,15.5002,283.7013,99.5773,1065.7586,655.2372,4251.7614,710.6623,2478.1588,20.6670,5291.6862,1170.9723,141.3809,1
TCGA-EY-A2OP-01A-11R-A19W-07,267.7747,1101.5697,1668.9751,1600.1847,154.6630,6.4635,277.9317,557.2484,804.2475,279.7784,6.4635,305.2585,0.0000,406.7405,1908.1256,3716.0665,4.1551,177.1976,1474.1459,0.0000,5.5402,1091.8744,376.2696,725.3001,5.0785,1788.5503,673.1302,128.8089,444.5983,12.4654,913.6657,860.5725,6664.8199,795.9372,2899.3536,12.0037,802.4007,1310.7110,1.8467,1
TCGA-EY-A2OQ-01A-11R-A19W-07,252.3019,739.9942,1433.8245,1938.4283,99.1839,11.8838,211.6228,676.4616,1357.9511,119.7520,9.5984,158.2463,5.9419,520.1442,3683.0594,7097.8196,5.4848,11.4267,2684.8214,1.3712,0.0000,1200.2624,689.2596,392.6220,37.4796,896.7688,283.8397,159.9740,390.7937,0.4571,1778.4542,2246.4926,12355.9377,482.6645,6992.2367,4.1136,3213.6499,1438.3951,5.0278,0
TCGA-EY-A3L3-01A-11R-A22K-07,183.7866,683.6681,1023.6958,1750.2625,24.3845,106.5691,349.5106,761.3371,2146.2842,162.5631,55.9939,389.4831,0.9031,1616.1479,2311.1051,3385.8277,2.2578,4.5156,1697.8810,0.4516,0.0000,1832.4471,305.7089,381.1201,12.1922,1349.2735,362.1544,49.6721,408.2140,9.0313,514.7831,955.0581,9572.7075,1448.1661,1162.7776,3.6125,8484.4380,1245.4138,483.6252,0
TCGA-EY-A3QX-01A-11R-A22K-07,219.5804,483.2168,1039.1608,896.8531,513.6364,14.6853,620.6294,676.5734,1101.0490,4.8951,4.8951,660.2098,0.0000,606.9930,2958.0420,1971.6783,5.5944,3.1469,2763.9860,0.0000,0.6993,1054.1958,200.3497,686.7133,6.6434,444.4056,281.8182,0.3497,403.4965,389.5105,1438.4615,610.1399,9906.6434,1393.7063,187.0629,12.2378,1449.6503,1731.4685,378.3217,2
